Name,SubCategoryName,Value
Состояние,Мобильные телефоны,Новое
Производитель,Мобильные телефоны,Apple
Модель,Мобильные телефоны,iPhone 15 Pro
Встроенная память,Мобильные телефоны,256 ГБ
Цвет,Мобильные телефоны,Серый
Комплект,Мобильные телефоны,Коробка
Комплект,Мобильные телефоны," Провод зарядки"
Коробка запечатана,Мобильные телефоны,Да
Модель,Мобильные телефоны,iPhone 16 Pro
Цвет,Мобильные телефоны,Золотистый
Модель,Мобильные телефоны,iPhone 15
Встроенная память,Мобильные телефоны,128 ГБ
Цвет,Мобильные телефоны,Голубой
Модель,Мобильные телефоны,iPhone 13
Цвет,Мобильные телефоны,Синий
Модель,Мобильные телефоны,iPhone 15 Pro Max
Цвет,Мобильные телефоны,Белый
Модель,Мобильные телефоны,iPhone 16 Pro Max
Коробка запечатана,Мобильные телефоны,Нет
Модель,Мобильные телефоны,iPhone 14 Plus
Модель,Мобильные телефоны,iPhone 14
Модель,Мобильные телефоны,iPhone 12 Pro
Цвет,Мобильные телефоны,Чёрный
Модель,Мобильные телефоны,iPhone 13 mini
Цвет,Мобильные телефоны,Зеленый
Модель,Мобильные телефоны,iPhone SE (2022)
Модель,Мобильные телефоны,iPhone 15 Plus
Модель,Мобильные телефоны,iPhone Xs
Модель,Мобильные телефоны,iPhone 12 mini
Экран,Мобильные телефоны,Без дефектов
Корпус,Мобильные телефоны,Без дефектов
Комплект,Мобильные телефоны,Блок зарядки
Состояние,Мобильные телефоны,Отличное
Производитель,Мобильные телефоны,Samsung
Модель,Мобильные телефоны,Galaxy A25
Оперативная память,Мобильные телефоны,8 ГБ
I,Мобильные телефоны,MEI**********98399
Модель,Мобильные телефоны,iPhone 12 Pro Max
Модель,Мобильные телефоны,iPhone Xr
Модель,Мобильные телефоны,Galaxy S24+
Оперативная память,Мобильные телефоны,12 ГБ
Модель,Мобильные телефоны,iPhone 11 Pro
Модель,Мобильные телефоны,iPhone Xs Max
Встроенная память,Мобильные телефоны,512 ГБ
Цвет,Мобильные телефоны,Фиолетовый
Модель,Мобильные телефоны,iPhone 12
Цвет,Мобильные телефоны,Красный
Состояние,Мобильные телефоны,Хорошее
Модель,Мобильные телефоны,iPhone 14 Pro Max
Состояние аккумулятора,Мобильные телефоны,90 %
I,Мобильные телефоны,MEI**********26292
Встроенная память,Мобильные телефоны,64 ГБ
Экран,Мобильные телефоны,Сколы
Экран,Мобильные телефоны," трещины"
Корпус,Мобильные телефоны,Мелкие царапины
Работа устройства,Мобильные телефоны,Не включается
