Id,SubCategoryName,Name
1,Мобильные телефоны,Состояние
2,Мобильные телефоны,Производитель
3,Мобильные телефоны,Модель
4,Мобильные телефоны,Встроенная память
5,Мобильные телефоны,Цвет
6,Мобильные телефоны,Комплект
7,Мобильные телефоны,Коробка запечатана
8,Мобильные телефоны,Экран
9,Мобильные телефоны,Корпус
10,Мобильные телефоны,Оперативная память
11,Мобильные телефоны,I
12,Мобильные телефоны,Состояние аккумулятора
13,Аксессуары,Вид товара
14,Аксессуары,Состояние
15,Телевизоры и проекторы,Производитель
16,Телевизоры и проекторы,Модель
17,Телевизоры и проекторы,Диагональ
18,Телевизоры и проекторы,Smart TV
19,Телевизоры и проекторы,Вид товара
20,Наушники,Вид товара
21,"Акустика, колонки, сабвуферы",Вид товара
22,"Музыкальные центры, магнитолы",Вид товара
23,Усилители и ресиверы,Тип товара
24,Усилители и ресиверы,Вид товара
25,Видеокамеры,Вид товара
26,"Видео, DVD и Blu-ray плееры",Вид товара
27,Музыка и фильмы,Вид товара
28,Микрофоны,Вид товара
29,MP3-плееры,Вид товара
30,Комплектующие,Производитель
31,Комплектующие,Модель
32,Комплектующие,Форм-фактор
33,Комплектующие,Сокет
34,Комплектующие,Чипсет
35,Комплектующие,Тип поддерживаемой памяти
36,Комплектующие,Бренд
37,Комплектующие,Код производителя
38,Комплектующие,Модельi
39,Комплектующие,Код модели
40,Комплектующие,Линейка
41,Комплектующие,Количество ядер
42,Комплектующие,Тактовая частота
43,Комплектующие,Поколение
44,Комплектующие,Тип
45,Комплектующие,"Объём одного модуля, ГБ"
46,Комплектующие,"Тактовая частота, МГц"
47,Комплектующие,Количество модулей в комплекте
48,Комплектующие,Объём
49,Мониторы и запчасти,Производитель
50,Мониторы и запчасти,Модель
51,Мониторы и запчасти,"Диагональ, дюйм"
52,Мониторы и запчасти,Частота обновления
53,Мониторы и запчасти,Разрешение экрана
54,Мониторы и запчасти,Тип матрицы
55,Мониторы и запчасти,Тип товара
56,Игровые приставки и аксессуары,Производитель
57,Игровые приставки и аксессуары,Модель
58,Игровые приставки и аксессуары,"Встроенная память, ГБ"
59,Игры для приставок,Тип
60,Игры для приставок,Платформа
61,Игры для приставок,Локализация
62,Ноутбуки,Модель
63,Ноутбуки,"Диагональ, дюйм"
64,Ноутбуки,Разрешение экрана
65,Ноутбуки,Процессор
66,Ноутбуки,Количество ядер процессора
67,Ноутбуки,"Оперативная память, ГБ"
68,Ноутбуки,Конфигурация накопителей
69,Ноутбуки,"Объем накопителей, ГБ"
70,Ноутбуки,Видеокарта
71,Ноутбуки,Операционная система
72,Ноутбуки,Производитель
73,Ноутбуки,"Объем видеопамяти, ГБ"
74,Ноутбуки,Код конфигурации
75,Ноутбуки,Цвет
76,Системные блоки,Процессор
77,Системные блоки,Видеокарта
78,Системные блоки,Оперативная память
79,Системные блоки,Материнская плата
80,Системные блоки,Тип
81,Моноблоки,Производитель
82,Моноблоки,Модель
83,Моноблоки,"Диагональ, """
84,Объективы,Производитель
85,Объективы,Байонет
86,Планшеты,Бренд
87,Планшеты,Модель
88,Планшеты,"Объем встроенной памяти, ГБ"
89,Планшеты,Слот для сим-карты
90,Планшеты,"Оперативная память, ГБ"
91,Планшеты,Цвет
92,"МФУ, копиры и сканеры",Вид товара
93,Канцелярия,Вид оборудования
94,Канцелярия,Страна производства
95,Канцелярия,Доступность
96,Канцелярия,Вид товара
97,"ИБП, сетевые фильтры",Вид товара
98,Телефония,Вид товара
99,Уничтожители бумаг,Вид товара
100,Расходные материалы,Вид товара
