Id,PropertyId,SubCategoryName,Value
0,0,Мобильные телефоны,Новое
1,1,Мобильные телефоны,Apple
2,2,Мобильные телефоны,iPhone 15 Pro
3,3,Мобильные телефоны,256 ГБ
4,4,Мобильные телефоны,Серый
5,5,Мобильные телефоны,Коробка
6,5,Мобильные телефоны," Провод зарядки"
7,6,Мобильные телефоны,Да
8,2,Мобильные телефоны,iPhone 16 Pro
9,4,Мобильные телефоны,Золотистый
10,2,Мобильные телефоны,iPhone 15
11,3,Мобильные телефоны,128 ГБ
12,4,Мобильные телефоны,Голубой
13,2,Мобильные телефоны,iPhone 13
14,4,Мобильные телефоны,Синий
15,2,Мобильные телефоны,iPhone 15 Pro Max
16,4,Мобильные телефоны,Белый
17,2,Мобильные телефоны,iPhone 16 Pro Max
18,6,Мобильные телефоны,Нет
19,2,Мобильные телефоны,iPhone 14 Plus
20,2,Мобильные телефоны,iPhone 14
21,2,Мобильные телефоны,iPhone 12 Pro
22,4,Мобильные телефоны,Чёрный
23,2,Мобильные телефоны,iPhone 13 mini
24,4,Мобильные телефоны,Зеленый
25,2,Мобильные телефоны,iPhone SE (2022)
26,2,Мобильные телефоны,iPhone 15 Plus
27,2,Мобильные телефоны,iPhone Xs
28,2,Мобильные телефоны,iPhone 12 mini
29,7,Мобильные телефоны,Без дефектов
30,8,Мобильные телефоны,Без дефектов
31,5,Мобильные телефоны,Блок зарядки
32,0,Мобильные телефоны,Отличное
33,1,Мобильные телефоны,Samsung
34,2,Мобильные телефоны,Galaxy A25
35,9,Мобильные телефоны,8 ГБ
36,10,Мобильные телефоны,MEI**********98399
37,2,Мобильные телефоны,iPhone 12 Pro Max
38,2,Мобильные телефоны,iPhone Xr
39,2,Мобильные телефоны,Galaxy S24+
40,9,Мобильные телефоны,12 ГБ
41,2,Мобильные телефоны,iPhone 11 Pro
42,2,Мобильные телефоны,iPhone Xs Max
43,3,Мобильные телефоны,512 ГБ
44,4,Мобильные телефоны,Фиолетовый
45,2,Мобильные телефоны,iPhone 12
46,4,Мобильные телефоны,Красный
47,0,Мобильные телефоны,Хорошее
48,2,Мобильные телефоны,iPhone 14 Pro Max
49,11,Мобильные телефоны,90 %
50,10,Мобильные телефоны,MEI**********26292
51,3,Мобильные телефоны,64 ГБ
52,7,Мобильные телефоны,Сколы
53,7,Мобильные телефоны," трещины"
54,8,Мобильные телефоны,Мелкие царапины
55,12,Мобильные телефоны,Не включается
56,12,Мобильные телефоны," Не звонит"
57,12,Мобильные телефоны," Не работает сенсор"
58,13,Мобильные телефоны,Не работает вспышка
59,13,Мобильные телефоны," Трещины и сколы"
60,14,Мобильные телефоны,Не заряжается
61,0,Мобильные телефоны,Требуется
62,1,Мобильные телефоны,Infinix
63,2,Мобильные телефоны,Hot 20i
64,9,Мобильные телефоны,4 ГБ
65,2,Мобильные телефоны,iPhone X
66,4,Мобильные телефоны,Серебристый
67,11,Мобильные телефоны,100 %
68,1,Мобильные телефоны,Xiaomi
69,2,Мобильные телефоны,13T
70,10,Мобильные телефоны,MEI**********91128
71,2,Мобильные телефоны,Galaxy A05s
72,10,Мобильные телефоны,MEI**********89285
73,5,Мобильные телефоны," Блок зарядки"
74,1,Мобильные телефоны,HONOR
75,2,Мобильные телефоны,200
76,0,Мобильные телефоны,Удовлетворительное
77,2,Мобильные телефоны,8X
78,9,Мобильные телефоны,6 ГБ
79,10,Мобильные телефоны,MEI**********71272
80,1,Мобильные телефоны,HUAWEI
81,2,Мобильные телефоны,Nova 5T
82,10,Мобильные телефоны,MEI**********08818
83,7,Мобильные телефоны,1–2 мелкие царапины
84,2,Мобильные телефоны,7C
85,3,Мобильные телефоны,32 ГБ
86,9,Мобильные телефоны,3 ГБ
87,2,Мобильные телефоны,Galaxy S21
88,2,Мобильные телефоны,Galaxy A54
89,1,Мобильные телефоны,Google
90,2,Мобильные телефоны,Pixel 6a
91,10,Мобильные телефоны,MEI**********58281
92,2,Мобильные телефоны,Redmi 12
93,2,Мобильные телефоны,Redmi 13C
94,2,Мобильные телефоны,iPhone 7 Plus
95,11,Мобильные телефоны,74 %
96,10,Мобильные телефоны,MEI**********30469
97,2,Мобильные телефоны,iPhone SE (2020)
98,2,Мобильные телефоны,iPhone 11
99,11,Мобильные телефоны,85 %
100,10,Мобильные телефоны,MEI**********83419
101,1,Мобильные телефоны,Sony Ericsson
102,2,Мобильные телефоны,T100
103,3,Мобильные телефоны,Не указано
104,9,Мобильные телефоны,Не указано
105,10,Мобильные телефоны,MEI**********40767
106,2,Мобильные телефоны,Hot 50
107,1,Мобильные телефоны,TECNO
108,2,Мобильные телефоны,Spark 9 Pro
109,10,Мобильные телефоны,MEI**********54838
110,11,Мобильные телефоны,91 %
111,7,Мобильные телефоны,Много мелких царапин
112,8,Мобильные телефоны,Сколы
113,8,Мобильные телефоны," трещины"
