Name,SubCategoryName,Value
Состояние,Женская одежда,Отличное
Размер,Женская одежда,48 (L)
Материал основной части,Женская одежда,Шифон
Цвет,Женская одежда,Белый
Тип платья,Женская одежда,Вечерние
Размер,Женская одежда,44 (S/M)
Бренд,Женская одежда,Без бренда
Цвет,Женская одежда,Голубой
Бренд,Женская одежда,H&M
Цвет,Женская одежда,Разноцветный
Материал основной части,Женская одежда,Атлас
Состояние,Женская одежда,Как
Цвет,Женская одежда,Чёрный
Материал основной части,Женская одежда,Шерсть
Бренд,Женская одежда,TORRISS
Цвет,Женская одежда,Розовый
Тип платья,Женская одежда,Повседневные
Состояние,Женская одежда,Новое
Размер,Женская одежда,62 (5XL)
Материал основной части,Женская одежда,Натуральная кожа
Цвет,Женская одежда,Красный
Цвет,Женская одежда,Серый
Предмет одежды,Женская одежда,Водолазка
Размер,Женская одежда,46 (M)
Размер,Женская одежда,Без размера
Цвет,Женская одежда,Бежевый
Стиль,Женская одежда,Повседневный
Материал основной части,Женская одежда,Экомех
Размер,Женская одежда,52 (XL)
Состояние,Женская одежда,Хорошее
Размер,Женская одежда,50 (L/XL)
Материал основной части,Женская одежда,Полиэстер
Бренд,Женская одежда,Karl Lagerfeld
Размер,Женская одежда,42 (S)
Материал основной части,Женская одежда,Овчина
Бренд,Женская одежда,Elis
Предмет одежды,Женская одежда,Свитшот
Материал основной части,Женская одежда,Хлопок
Цвет,Женская одежда,Бордовый
Материал основной части,Женская одежда,Болонь
Материал основной части,Женская одежда," Натуральный мех"
Материал основной части,Женская одежда," Норка"
Материал основной части,Женская одежда,Сатин
Материал основной части,Женская одежда,Мохер
Размер,Женская одежда,40 (XS)
Бренд,Женская одежда,Feelz
Материал основной части,Женская одежда,Норка
Цвет,Женская одежда,Коричневый
Материал основной части,Женская одежда,Кашемир
Стиль,Женская одежда,Классический
Материал основной части,Женская одежда,Нейлон
Материал основной части,Женская одежда," Полиэстер"
Бренд,Женская одежда,City Classic
