Id,PropertyId,SubCategoryName,Value
0,0,Женская одежда,Отличное
1,1,Женская одежда,48 (L)
2,2,Женская одежда,Шифон
3,3,Женская одежда,Белый
4,4,Женская одежда,Вечерние
5,1,Женская одежда,44 (S/M)
6,5,Женская одежда,Без бренда
7,3,Женская одежда,Голубой
8,5,Женская одежда,H&M
9,3,Женская одежда,Разноцветный
10,2,Женская одежда,Атлас
11,0,Женская одежда,Как
12,3,Женская одежда,Чёрный
13,2,Женская одежда,Шерсть
14,5,Женская одежда,TORRISS
15,3,Женская одежда,Розовый
16,4,Женская одежда,Повседневные
17,0,Женская одежда,Новое
18,1,Женская одежда,62 (5XL)
19,2,Женская одежда,Натуральная кожа
20,3,Женская одежда,Красный
21,3,Женская одежда,Серый
22,6,Женская одежда,Водолазка
23,1,Женская одежда,46 (M)
24,1,Женская одежда,Без размера
25,3,Женская одежда,Бежевый
26,7,Женская одежда,Повседневный
27,2,Женская одежда,Экомех
28,1,Женская одежда,52 (XL)
29,0,Женская одежда,Хорошее
30,1,Женская одежда,50 (L/XL)
31,2,Женская одежда,Полиэстер
32,5,Женская одежда,Karl Lagerfeld
33,1,Женская одежда,42 (S)
34,2,Женская одежда,Овчина
35,5,Женская одежда,Elis
36,6,Женская одежда,Свитшот
37,2,Женская одежда,Хлопок
38,3,Женская одежда,Бордовый
39,2,Женская одежда,Болонь
40,2,Женская одежда," Натуральный мех"
41,2,Женская одежда," Норка"
42,2,Женская одежда,Сатин
43,2,Женская одежда,Мохер
44,1,Женская одежда,40 (XS)
45,5,Женская одежда,Feelz
46,2,Женская одежда,Норка
47,3,Женская одежда,Коричневый
48,2,Женская одежда,Кашемир
49,7,Женская одежда,Классический
50,2,Женская одежда,Нейлон
51,2,Женская одежда," Полиэстер"
52,5,Женская одежда,City Classic
