Name,SubCategoryName,Value
Количество комнат,Все квартиры,3
Общая площадь,Все квартиры,53.6 м²
Площадь кухни,Все квартиры,8 м²
Жилая площадь,Все квартиры,38 м²
Этаж,Все квартиры,2 из 3
Тип комнат,Все квартиры,смежные
Высота потолков,Все квартиры,2.9 м
Санузел,Все квартиры,раздельный
Окна,Все квартиры,во двор
Окна,Все квартиры," на улицу"
Ремонт,Все квартиры,косметический
Способ продажи,Все квартиры,свободная
Тип дома,Все квартиры,кирпичный
Год постройки,Все квартиры,1958
Этажей в доме,Все квартиры,3
Пассажирский лифт,Все квартиры,нет
Грузовой лифт,Все квартиры,нет
Парковка,Все квартиры,за шлагбаумом во дворе
Общая площадь,Все квартиры,67.2 м²
Площадь кухни,Все квартиры,14 м²
Жилая площадь,Все квартиры,44 м²
Этаж,Все квартиры,6 из 10
Балкон или лоджия,Все квартиры,лоджия
Тип комнат,Все квартиры,изолированные
Высота потолков,Все квартиры,2.7 м
Окна,Все квартиры," на солнечную сторону"
Ремонт,Все квартиры,евро
Мебель,Все квартиры,хранение одежды
Техника,Все квартиры,кондиционер
Вид сделки,Все квартиры,возможна ипотека
Тип дома,Все квартиры,панельный
Год постройки,Все квартиры,2008
Этажей в доме,Все квартиры,10
Пассажирский лифт,Все квартиры,1
В доме,Все квартиры,газ
Двор,Все квартиры,детская площадка
Парковка,Все квартиры,открытая во дворе
Количество комнат,Все квартиры,2
Общая площадь,Все квартиры,57.5 м²
Площадь кухни,Все квартиры,10.5 м²
Жилая площадь,Все квартиры,32 м²
Этаж,Все квартиры,7 из 10
Санузел,Все квартиры,совмещенный
Мебель,Все квартиры,кухня
Мебель,Все квартиры," хранение одежды"
Мебель,Все квартиры," спальные места"
Техника,Все квартиры," холодильник"
Техника,Все квартиры," стиральная машина"
Техника,Все квартиры," водонагреватель"
Год постройки,Все квартиры,2002
Общая площадь,Все квартиры,65.1 м²
Площадь кухни,Все квартиры,11 м²
Жилая площадь,Все квартиры,50 м²
Этаж,Все квартиры,9 из 9
Высота потолков,Все квартиры,2.4 м
Год постройки,Все квартиры,1998
Этажей в доме,Все квартиры,9
Двор,Все квартиры," спортивная площадка"
Парковка,Все квартиры,наземная многоуровневая
Парковка,Все квартиры," открытая во дворе"
