Id,SubCategoryName,Name
0,Все квартиры,Количество комнат
1,Все квартиры,Общая площадь
2,Все квартиры,Площадь кухни
3,Все квартиры,Жилая площадь
4,Все квартиры,Этаж
5,Все квартиры,Тип комнат
6,Все квартиры,Высота потолков
7,Все квартиры,Санузел
8,Все квартиры,Окна
9,Все квартиры,Ремонт
10,Все квартиры,Способ продажи
11,Все квартиры,Тип дома
12,Все квартиры,Год постройки
13,Все квартиры,Этажей в доме
14,Все квартиры,Пассажирский лифт
15,Все квартиры,Грузовой лифт
16,Все квартиры,Парковка
17,Все квартиры,Балкон или лоджия
18,Все квартиры,Мебель
19,Все квартиры,Техника
20,Все квартиры,Вид сделки
21,Все квартиры,В доме
22,Все квартиры,Двор
23,Все квартиры,Дополнительно
24,Все квартиры,Отделка
25,Все квартиры,Название новостройки
26,Все квартиры,Тип участия
27,Все квартиры,Срок сдачи
28,Все квартиры,"Корпус, строение"
29,Все квартиры,Тёплый пол
30,Все квартиры,Запланирован снос
31,Вторичка,Общая площадь
32,Вторичка,Площадь кухни
33,Вторичка,Жилая площадь
34,Новостройки,Общая площадь
35,Новостройки,Этаж
36,"Дома, дачи, коттеджи",Количество комнат
37,"Дома, дачи, коттеджи",Площадь дома
38,"Дома, дачи, коттеджи",Площадь участка
39,"Дома, дачи, коттеджи",Категория земель
40,"Дома, дачи, коттеджи",Материал стен
41,"Дома, дачи, коттеджи",Санузел
42,"Дома, дачи, коттеджи",Парковка
43,"Дома, дачи, коттеджи",Транспортная доступность
44,"Дома, дачи, коттеджи",Инфраструктура
45,"Дома, дачи, коттеджи",Способ продажи
46,"Дома, дачи, коттеджи",Расстояние до центра города
47,"Дома, дачи, коттеджи",Электричество
48,"Дома, дачи, коттеджи",Отопление
49,"Дома, дачи, коттеджи",Водоснабжение
50,"Дома, дачи, коттеджи",Газ
51,"Дома, дачи, коттеджи",Канализация
52,"Дома, дачи, коттеджи",Терраса или веранда
53,"Дома, дачи, коттеджи",Интернет и ТВ
54,"Дома, дачи, коттеджи",Год постройки
55,"Дома, дачи, коттеджи",Для отдыха
56,"Дома, дачи, коттеджи",Коммуникации
57,Комнаты,Площадь комнаты
58,Комнаты,Комнат в квартире
59,Комнаты,Тип дома
60,Комнаты,Этаж
61,Квартиры,Кровати
62,Квартиры,Техника
63,Квартиры,Комфорт
64,Квартиры,Залог
65,Квартиры,Возможна помесячная аренда
66,Квартиры,Заезд после
67,Квартиры,Выезд до
68,Квартиры,Количество гостей
69,Квартиры,Можно с детьми
70,Квартиры,Можно с животными
71,Квартиры,Можно курить
72,Квартиры,Разрешены вечеринки
73,Квартиры,Есть отчётные документы
74,Квартиры,Парковка
75,Квартиры,Этаж
76,Квартиры,Общая площадь
77,Квартиры,Комиссия
78,Квартиры,По счетчикам
79,Квартиры,Другие ЖКУ
80,Квартиры,Жилая площадь
81,Квартиры,Дополнительно
82,"Дома, дачи и коттеджи",Площадь участка
83,"Дома, дачи и коттеджи",Коммуникации
84,"Дома, дачи и коттеджи",Площадь дома
85,"Дома, дачи и коттеджи",Залог
86,"Дома, дачи и коттеджи",Для отдыха
87,"Дома, дачи и коттеджи",Транспортная доступность
88,"Дома, дачи и коттеджи",Расстояние до центра города
89,"Дома, дачи и коттеджи",Количество гостей
90,"Дома, дачи и коттеджи",Санузел
91,"Дома, дачи и коттеджи",Заезд после
92,"Дома, дачи и коттеджи",Выезд до
93,"Дома, дачи и коттеджи",Размер комиссии
