Id,PropertyId,SubCategoryName,Value
0,0,Все квартиры,3
1,1,Все квартиры,53.6 м²
2,2,Все квартиры,8 м²
3,3,Все квартиры,38 м²
4,4,Все квартиры,2 из 3
5,5,Все квартиры,смежные
6,6,Все квартиры,2.9 м
7,7,Все квартиры,раздельный
8,8,Все квартиры,во двор
9,8,Все квартиры," на улицу"
10,9,Все квартиры,косметический
11,10,Все квартиры,свободная
12,11,Все квартиры,кирпичный
13,12,Все квартиры,1958
14,13,Все квартиры,3
15,14,Все квартиры,нет
16,15,Все квартиры,нет
17,16,Все квартиры,за шлагбаумом во дворе
18,1,Все квартиры,67.2 м²
19,2,Все квартиры,14 м²
20,3,Все квартиры,44 м²
21,4,Все квартиры,6 из 10
22,17,Все квартиры,лоджия
23,5,Все квартиры,изолированные
24,6,Все квартиры,2.7 м
25,8,Все квартиры," на солнечную сторону"
26,9,Все квартиры,евро
27,18,Все квартиры,хранение одежды
28,19,Все квартиры,кондиционер
29,20,Все квартиры,возможна ипотека
30,11,Все квартиры,панельный
31,12,Все квартиры,2008
32,13,Все квартиры,10
33,14,Все квартиры,1
34,21,Все квартиры,газ
35,22,Все квартиры,детская площадка
36,16,Все квартиры,открытая во дворе
37,0,Все квартиры,2
38,1,Все квартиры,57.5 м²
39,2,Все квартиры,10.5 м²
40,3,Все квартиры,32 м²
41,4,Все квартиры,7 из 10
42,7,Все квартиры,совмещенный
43,18,Все квартиры,кухня
44,18,Все квартиры," хранение одежды"
45,18,Все квартиры," спальные места"
46,19,Все квартиры," холодильник"
47,19,Все квартиры," стиральная машина"
48,19,Все квартиры," водонагреватель"
49,12,Все квартиры,2002
50,1,Все квартиры,65.1 м²
51,2,Все квартиры,11 м²
52,3,Все квартиры,50 м²
53,4,Все квартиры,9 из 9
54,6,Все квартиры,2.4 м
55,12,Все квартиры,1998
56,13,Все квартиры,9
57,22,Все квартиры," спортивная площадка"
58,16,Все квартиры,наземная многоуровневая
59,16,Все квартиры," открытая во дворе"
60,0,Все квартиры,1
61,1,Все квартиры,33.3 м²
62,2,Все квартиры,7 м²
63,3,Все квартиры,18 м²
64,4,Все квартиры,5 из 9
65,17,Все квартиры,балкон
66,6,Все квартиры,2.6 м
67,19,Все квартиры,холодильник
68,12,Все квартиры,1979
69,1,Все квартиры,45 м²
70,2,Все квартиры,5 м²
71,3,Все квартиры,30 м²
72,4,Все квартиры,1 из 5
73,6,Все квартиры,2.5 м
74,8,Все квартиры,на улицу
75,12,Все квартиры,1969
76,13,Все квартиры,5
77,1,Все квартиры,32.1 м²
78,2,Все квартиры,9 м²
79,3,Все квартиры,15.2 м²
80,4,Все квартиры,9 из 10
81,6,Все квартиры,2.8 м
82,12,Все квартиры,2005
83,22,Все квартиры,закрытая территория
84,22,Все квартиры," детская площадка"
85,1,Все квартиры,50 м²
86,3,Все квартиры,19 м²
87,4,Все квартиры,5 из 10
88,17,Все квартиры," лоджия"
89,23,Все квартиры,гардеробная
90,12,Все квартиры,2014
91,1,Все квартиры,42 м²
92,2,Все квартиры,13.7 м²
93,3,Все квартиры,14.1 м²
94,24,Все квартиры,без отделки
95,25,Все квартиры,ЖК «Танкисты»
96,26,Все квартиры,другое
97,27,Все квартиры,Сдан 4 кв. 2020
98,15,Все квартиры,1
99,16,Все квартиры,подземная
100,16,Все квартиры," за шлагбаумом во дворе"
101,1,Все квартиры,93 м²
102,2,Все квартиры,16 м²
103,3,Все квартиры,48 м²
104,4,Все квартиры,2 из 22
105,24,Все квартиры,предчистовая
106,10,Все квартиры,договор долевого участия
107,25,Все квартиры,ЖК «Лето»
108,28,Все квартиры,Дом 10
109,28,Все квартиры," 1 группа"
110,26,Все квартиры,ДДУ по ФЗ 214
111,27,Все квартиры,Сдача в 4 кв. 2025
112,11,Все квартиры,монолитно-кирпичный
113,13,Все квартиры,22
114,1,Все квартиры,39 м²
115,2,Все квартиры,10 м²
116,3,Все квартиры,21 м²
117,4,Все квартиры,1 из 10
118,24,Все квартиры,чистовая
119,10,Все квартиры,переуступка
120,25,Все квартиры,ЖК «Апельсин»
121,28,Все квартиры,Дом 2
122,27,Все квартиры,Сдан 3 кв. 2023
123,1,Все квартиры,43 м²
124,4,Все квартиры,3 из 10
125,8,Все квартиры,на солнечную сторону
126,1,Все квартиры,42.2 м²
127,2,Все квартиры,12 м²
128,9,Все квартиры,требует ремонта
129,12,Все квартиры,2015
130,1,Все квартиры,87 м²
131,2,Все квартиры,15 м²
132,4,Все квартиры,12 из 23
133,5,Все квартиры," смежные"
134,11,Все квартиры,монолитный
135,12,Все квартиры,2020
136,13,Все квартиры,23
137,14,Все квартиры,2
138,1,Все квартиры,65 м²
139,3,Все квартиры,35 м²
140,4,Все квартиры,5 из 5
141,10,Все квартиры,альтернативная
142,12,Все квартиры,2011
143,1,Все квартиры,51.1 м²
144,3,Все квартиры,33 м²
145,12,Все квартиры,1962
146,1,Все квартиры,58 м²
147,3,Все квартиры,37 м²
148,4,Все квартиры,2 из 10
149,12,Все квартиры,2022
150,1,Все квартиры,31.6 м²
151,2,Все квартиры,6 м²
152,3,Все квартиры,18.5 м²
153,9,Все квартиры,дизайнерский
154,12,Все квартиры,1970
155,1,Все квартиры,83.4 м²
156,2,Все квартиры,13 м²
157,3,Все квартиры,60 м²
158,4,Все квартиры,4 из 4
159,13,Все квартиры,4
160,2,Все квартиры,8.6 м²
161,3,Все квартиры,35.6 м²
162,4,Все квартиры,7 из 9
163,12,Все квартиры,1983
164,1,Все квартиры,48 м²
165,3,Все квартиры,20 м²
166,12,Все квартиры,2013
167,1,Все квартиры,41 м²
168,2,Все квартиры,7.6 м²
169,3,Все квартиры,17.7 м²
170,12,Все квартиры,1986
171,1,Все квартиры,81 м²
172,3,Все квартиры,49 м²
173,4,Все квартиры,19 из 23
174,1,Все квартиры,66.4 м²
175,3,Все квартиры,40 м²
176,4,Все квартиры,8 из 11
